Sample	Normalized_Value
0	0.5882
1	0.5882
2	0.5882
3	0.5882
4	0.5882
5	0.5882
6	0.5882
7	0.5882
8	0.5882
9	0.5882
10	0.5882
11	0.5882
12	0.5882
13	0.5882
14	0.5882
15	0.5882
16	0.0294
17	-0.3529
18	-0.6176
19	-0.7941
20	-0.9118
21	-1.0000
22	-1.0000
23	-1.0000
24	-1.0000
25	-1.0000
26	-1.0000
27	-1.0000
28	-1.0000
29	-1.0000
30	-1.0000
31	-1.0000
32	-0.4706
33	-0.1176
34	0.1471
35	0.3235
36	0.3235
37	0.3235
38	0.3235
39	0.3235
40	0.3235
41	0.3235
42	0.4706
43	0.5588
44	0.6176
45	0.6176
46	0.6176
47	0.7647
48	0.7647
49	0.7647
50	0.7647
51	0.7647
52	0.7647
53	0.7647
54	0.7647
55	0.7647
56	0.7647
57	0.7647
58	0.7647
59	0.7647
60	0.7647
61	0.7353
62	0.7353
63	0.7353
64	0.7353
65	0.7353
66	0.7353
67	0.7353
68	0.6471
69	0.6471
70	0.6471
71	0.6471
72	0.6471
73	0.6471
74	0.6471
75	0.6471
76	0.6471
77	0.6471
78	0.6471
79	0.6471
80	0.6471
81	0.6471
82	0.6471
83	0.6471
84	0.6471
85	0.6471
86	0.6471
87	0.6471
88	0.6471
89	0.6471
90	0.6471
91	0.6471
92	0.6471
93	0.6471
94	0.6471
95	0.6471
96	0.2647
97	0.0000
98	-0.2059
99	-0.3235
100	-0.3235
101	-0.3235
102	-0.3235
103	-0.3235
104	-0.3235
105	-0.3235
106	-0.3235
107	-0.3235
108	-0.3235
109	-0.3235
110	-0.3235
111	-0.3235
112	-0.3235
113	-0.3235
114	-0.3235
115	-0.3235
116	-0.3235
117	-0.3235
118	-0.3235
119	0.0000
120	0.2059
121	0.3529
122	0.4706
123	0.5588
124	0.6176
125	0.7647
126	0.7647
127	0.7647
128	0.7647
129	0.7647
130	0.7647
131	0.7647
132	0.7647
133	0.7647
134	0.7647
135	0.7647
136	0.7647
137	0.7647
138	0.7647
139	0.7647
140	0.7647
141	0.8529
142	0.8529
143	0.8529
144	0.8529
145	0.8529
146	0.8529
147	0.8529
148	0.8529
149	0.8529
150	0.8529
151	0.8529
152	0.7941
153	0.7941
154	0.7941
155	0.7941
156	0.7941
157	0.7941
158	0.6471
159	0.6471
160	0.6471
161	0.6471
162	0.6471
163	0.6471
164	0.6471
165	0.6471
166	0.6471
167	0.6471
168	0.6471
169	0.6471
170	0.6471
171	0.6471
172	0.6471
173	0.6471
174	0.6471
175	0.6471
176	0.6471
177	0.6471
178	0.7941
179	0.7941
180	0.7941
181	0.7941
182	0.7059
183	0.7059
184	0.7059
185	0.7059
186	0.7059
187	0.7059
188	0.7059
189	0.7059
190	0.7059
191	0.7059
192	0.7059
193	0.7059
194	0.7059
195	0.7059
196	0.7059
197	0.7059
198	0.7059
199	0.7059
200	0.7059
201	0.7059
202	0.6765
203	0.6765
204	0.6765
205	0.6765
206	0.6765
207	0.6765
208	0.6765
209	0.6765
210	0.6765
211	0.6471
212	0.6471
213	0.6471
214	0.6471
215	0.6471
216	0.6471
217	0.6471
218	0.6471
219	0.6471
220	0.7647
221	0.7647
222	0.7647
223	0.7647
224	0.7647
225	0.6471
226	0.6471
227	0.6471
228	0.6471
229	0.6471
230	0.6471
231	0.6471
232	0.6471
233	0.6765
234	0.6765
235	0.6765
236	0.6765
237	0.6765
238	0.6471
239	0.6471
240	0.6471
241	0.6471
242	0.7059
243	0.7059
244	0.7059
245	0.7059
246	0.7059
247	0.7059
248	0.7059
249	0.7059
250	0.7059
251	0.7059
252	0.7059
253	0.7059
254	0.7059
255	0.5882
256	0.5000
257	0.3824
258	0.3824
259	0.3824
260	0.4412
261	0.5000
262	0.6471
263	0.6471
264	0.6471
265	0.6471
266	0.6471
267	0.6471
268	0.6471
269	0.6471
270	0.6471
271	0.6471
272	0.6471
273	0.6471
274	0.7059
275	0.7647
276	0.9118
277	0.9118
278	0.9118
279	0.9118
280	1.0000
281	1.0000
282	1.0000
283	1.0000
284	1.0000
285	1.0000
286	1.0000
287	1.0000
288	1.0000
289	1.0000
290	0.3824
291	-0.0588
292	-0.3529
293	-0.5588
294	-0.7059
295	-0.8235
296	-0.8235
297	-0.8235
298	-0.8235
299	-0.8235
300	-0.8235
301	-0.8235
302	-0.8235
303	-0.8235
304	-0.8235
305	-0.8235
306	-0.8235
307	-0.8235
308	-0.8235
309	-0.8235
310	-0.3235
311	0.0294
312	0.2647
313	0.4412
314	0.5588
315	0.6471
316	0.6471
317	0.6471
318	0.6471
319	0.6471
320	0.6765
321	0.8235
322	0.8235
323	0.8235
324	0.8235
325	0.8235
326	0.7059
327	0.7059
328	0.7059
329	0.7059
330	0.7059
331	0.7059
332	0.7059
333	0.7059
334	0.7059
335	0.7059
336	0.7059
337	0.7059
338	0.7059
339	0.7059
340	0.7059
341	0.7353
342	0.7353
343	0.7353
344	0.7353
345	0.7353
346	0.6765
347	0.5588
