x,y
3.0,144.0
6.0,144.0
9.0,144.0
12.0,143.0
15.0,142.0
18.0,143.0
20.0,143.0
21.0,143.0
23.0,143.0
26.0,142.0
27.0,142.0
30.0,143.0
33.0,144.0
34.0,144.0
37.0,144.0
40.0,143.0
43.0,144.0
46.0,145.0
49.0,144.0
52.0,143.0
54.0,142.0
57.0,141.0
60.0,139.0
63.0,138.0
66.0,140.0
69.0,140.0
71.0,140.0
74.0,141.0
76.0,143.0
77.0,144.0
80.0,145.0
82.0,145.0
85.0,146.0
88.0,146.0
91.0,150.0
93.0,154.0
96.0,147.0
98.0,113.0
100.0,78.0
103.0,88.0
106.0,164.0
109.0,178.0
112.0,162.0
115.0,147.0
117.0,146.0
120.0,147.0
123.0,146.0
125.0,145.0
128.0,144.0
131.0,145.0
132.0,145.0
135.0,143.0
138.0,143.0
140.0,143.0
143.0,142.0
146.0,140.0
148.0,139.0
150.0,138.0
153.0,136.0
156.0,132.0
159.0,127.0
162.0,122.0
165.0,117.0
168.0,113.0
171.0,112.0
174.0,111.0
175.0,111.0
178.0,114.0
180.0,118.0
183.0,124.0
186.0,129.0
189.0,134.0
192.0,139.0
195.0,141.0
197.0,141.0
200.0,142.0
202.0,143.0
205.0,144.0
208.0,143.0
211.0,142.0
212.0,142.0
215.0,143.0
217.0,143.0
220.0,142.0
223.0,143.0
226.0,142.0
229.0,141.0
232.0,142.0
233.0,142.0
236.0,142.0
238.0,142.0
240.0,142.0
243.0,143.0
245.0,143.0
248.0,142.0
250.0,142.0
252.0,142.0
255.0,143.0
258.0,144.0
261.0,145.0
263.0,145.0
265.0,144.0
267.0,143.0
269.0,142.0
271.0,141.0
274.0,140.0
277.0,139.0
280.0,138.0
283.0,139.0
286.0,140.0
288.0,140.0
291.0,143.0
292.0,144.0
295.0,145.0
296.0,145.0
299.0,145.0
302.0,146.0
305.0,145.0
308.0,150.0
309.0,152.0
312.0,149.0
315.0,88.0
316.0,68.0
319.0,105.0
322.0,170.0
325.0,171.0
328.0,154.0
331.0,146.0
334.0,145.0
337.0,144.0
338.0,144.0
340.0,144.0
342.0,144.0
344.0,144.0
347.0,143.0
350.0,143.0
351.0,143.0
354.0,142.0
357.0,141.0
359.0,142.0
362.0,140.0
364.0,138.0
365.0,137.0
368.0,136.0
369.0,136.0
372.0,133.0
374.0,130.0
376.0,127.0
378.0,124.0
381.0,119.0
384.0,114.0
386.0,111.0
389.0,109.0
392.0,111.0
395.0,116.0
397.0,120.0
399.0,124.0
402.0,129.0
405.0,134.0
408.0,139.0
411.0,140.0
414.0,141.0
415.0,141.0
418.0,141.0
421.0,141.0
424.0,142.0
427.0,141.0
430.0,141.0
433.0,141.0
436.0,141.0
439.0,142.0
442.0,140.0
445.0,140.0
448.0,141.0
451.0,141.0
454.0,142.0
457.0,142.0
460.0,142.0
463.0,142.0
466.0,142.0
468.0,142.0
471.0,142.0
474.0,143.0
476.0,144.0
478.0,144.0
480.0,143.0
483.0,142.0
486.0,141.0
489.0,140.0
492.0,139.0
495.0,138.0
496.0,138.0
499.0,139.0
502.0,139.0
505.0,140.0
507.0,142.0
510.0,144.0
513.0,145.0
514.0,145.0
517.0,145.0
520.0,146.0
522.0,147.0
525.0,152.0
528.0,145.0
531.0,98.0
532.0,82.0
535.0,83.0
538.0,154.0
541.0,174.0
544.0,154.0
547.0,147.0
548.0,146.0
551.0,145.0
552.0,145.0
555.0,145.0
558.0,144.0
561.0,144.0
564.0,144.0
567.0,143.0
570.0,142.0
572.0,142.0
575.0,141.0
578.0,140.0
581.0,139.0
584.0,138.0
587.0,136.0
590.0,132.0
593.0,128.0
595.0,125.0
597.0,122.0
599.0,119.0
602.0,115.0
604.0,113.0
607.0,113.0
609.0,115.0
612.0,119.0
614.0,123.0
615.0,125.0
617.0,129.0
620.0,134.0
623.0,135.0
626.0,139.0
627.0,140.0
630.0,141.0
633.0,142.0
635.0,143.0
637.0,144.0
640.0,143.0
643.0,142.0
