10_regiao_1,10_regiao_10,10_regiao_11,10_regiao_12,10_regiao_13,10_regiao_2,10_regiao_3,10_regiao_4,10_regiao_5,10_regiao_6,10_regiao_7,10_regiao_8,10_regiao_9
,,,,,,,,,,,,
,,,,215.0,,,,,244.0,,,
,212.0,236.0,,214.66666666666669,,,221.0,,244.0,,,
,212.0,236.0,197.0,214.33333333333331,,251.0,221.0,268.0,244.33333333333334,262.0,246.0,282.0
207.0,212.0,236.0,197.0,214.0,220.0,251.5,221.0,268.33333333333337,244.66666666666666,262.33333333333337,246.0,282.0
206.5,212.0,236.0,197.0,213.66666666666669,220.0,252.0,220.66666666666669,268.66666666666663,245.0,262.66666666666663,246.0,282.0
206.0,212.0,236.0,197.0,213.33333333333331,220.33333333333334,252.5,220.33333333333331,269.0,245.33333333333334,263.0,246.0,282.0
205.66666666666669,212.0,236.33333333333334,197.33333333333331,213.0,220.66666666666666,253.0,220.0,269.0,245.66666666666666,263.33333333333337,246.0,282.0
205.33333333333331,212.0,236.66666666666666,197.66666666666669,212.5,221.0,253.5,219.66666666666669,269.0,246.0,263.66666666666663,246.0,282.33333333333337
205.0,212.0,237.0,198.0,212.0,221.33333333333334,254.0,219.33333333333331,269.0,246.5,264.0,246.0,282.66666666666663
204.66666666666669,212.33333333333331,237.66666666666666,198.33333333333331,211.5,221.66666666666666,254.5,219.0,269.0,247.0,264.0,246.33333333333334,283.0
204.33333333333331,212.66666666666669,238.33333333333334,198.66666666666669,211.0,222.0,255.0,218.5,269.0,247.5,264.0,246.66666666666666,283.5
204.0,213.0,239.0,199.0,211.33333333333331,222.0,255.33333333333334,218.0,269.0,248.0,264.0,247.0,284.0
204.0,213.33333333333331,238.5,199.0,211.66666666666669,222.0,255.66666666666666,217.5,269.0,247.66666666666666,264.0,247.0,284.5
204.33333333333331,213.66666666666669,238.0,199.0,212.0,222.0,256.0,217.0,269.0,247.33333333333334,264.0,247.0,285.0
204.66666666666669,214.0,237.66666666666666,199.0,221.66666666666666,222.0,255.0,217.66666666666669,269.0,247.0,264.0,247.0,284.66666666666663
205.0,213.5,237.33333333333334,199.0,231.33333333333334,222.0,254.0,218.33333333333331,269.0,246.66666666666666,264.0,247.0,284.33333333333337
206.0,213.0,237.0,199.0,241.0,222.0,253.33333333333334,219.0,268.66666666666663,246.33333333333334,264.0,247.0,284.0
207.0,212.5,237.0,199.0,256.0,222.0,252.66666666666666,220.0,268.33333333333337,246.0,263.66666666666663,247.0,283.66666666666663
207.0,212.0,237.0,198.66666666666669,256.66666666666663,222.0,252.0,220.33333333333331,268.0,246.0,263.33333333333337,247.0,283.33333333333337
207.0,212.33333333333331,237.0,198.33333333333331,257.33333333333337,222.0,252.33333333333334,220.66666666666669,268.0,246.0,263.0,247.0,283.0
207.0,212.66666666666669,237.0,198.0,258.0,222.0,252.66666666666666,221.0,268.0,246.0,262.66666666666663,247.0,283.0
206.66666666666669,213.0,237.0,198.33333333333331,242.33333333333334,222.0,253.0,220.66666666666669,268.0,246.33333333333334,262.33333333333337,247.0,283.0
206.33333333333331,213.5,237.33333333333334,198.66666666666669,226.66666666666666,222.0,253.33333333333334,220.33333333333331,268.0,246.66666666666666,262.0,247.0,283.0
206.0,214.0,237.66666666666666,199.0,211.0,222.0,253.66666666666666,220.0,268.33333333333337,247.0,262.0,247.0,283.0
205.5,214.0,238.0,199.0,209.33333333333331,222.0,254.0,219.66666666666669,268.66666666666663,247.0,262.0,247.0,283.0
205.0,214.0,237.5,199.0,207.66666666666669,222.0,254.33333333333334,219.33333333333331,269.0,247.0,262.0,246.66666666666666,283.0
204.66666666666669,214.0,237.0,198.66666666666669,206.0,222.0,254.66666666666666,219.0,269.33333333333337,247.0,262.0,246.33333333333334,283.0
204.33333333333331,213.66666666666669,236.66666666666666,198.33333333333331,210.0,222.0,255.0,218.66666666666669,269.66666666666663,247.0,262.0,246.0,282.66666666666663
204.0,213.33333333333331,236.33333333333334,198.0,211.33333333333331,221.66666666666666,255.0,218.33333333333331,270.0,247.0,262.33333333333337,246.0,282.33333333333337
204.33333333333331,213.0,236.0,198.0,212.66666666666669,221.33333333333334,255.0,218.0,269.5,246.66666666666666,262.66666666666663,246.0,282.0
204.66666666666669,212.66666666666669,235.66666666666666,198.0,214.0,221.0,255.0,218.33333333333331,269.0,246.33333333333334,263.0,246.0,281.66666666666663
